gol-12.32.278.22.277,.815.be,3.110.203.189
gol-14.34.276.24.275,.815.be,15.206.207.223
gol-16.36.274.26.273,.815.be,13.235.62.49
gol-18.38.272.28.271,.815.be,3.7.74.200
gol-20.40.270.30.269,.815.be,13.200.13.236
gol-21.41.269.31.268,.815.be,52.66.224.47
gol-22.42.268.32.267,.815.be,3.110.137.62
gol-23.43.267.33.266,.815.be,65.1.127.34
gol-24.44.266.34.265,.815.be,3.111.54.7
gol-25.45.265.35.264,.815.be,3.110.201.55
gol-26.46.264.36.263,.815.be,65.1.13.7
gol-27.47.263.37.262,.815.be,13.200.9.164
gol-28.48.262.38.261,.815.be,13.200.8.153
gol-29.49.261.39.260,.815.be,43.205.90.199
gol-30.50.260.40.259,.815.be,43.205.132.56
gol-31.51.259.41.258,.815.be,3.110.203.189
gol-32.52.258.42.257,.815.be,15.206.207.223
gol-33.53.257.43.256,.815.be,13.235.62.49
gol-34.54.256.44.255,.815.be,3.7.74.200
gol-35.55.255.45.254,.815.be,13.200.13.236
gol-36.56.254.46.253,.815.be,52.66.224.47
gol-37.57.253.47.252,.815.be,3.110.137.62
gol-38.58.252.48.251,.815.be,65.1.127.34
gol-39.59.251.49.250,.815.be,3.111.54.7
gol-40.60.250.50.249,.815.be,3.110.201.55
dimond-01.289.11.288,.815.be,43.205.122.140
dimond-05.285.15.284,.815.be,52.66.220.224
dimond-06.284.16.283,.815.be,65.0.69.74
dimond-07.283.17.282,.815.be,3.110.138.38
dimond-08.282.18.281,.815.be,43.205.121.85
dimond-09.281.19.280,.815.be,3.108.9.143
dimond-10.280.20.279,.815.be,3.7.255.28
dimond-11.279.21.278,.815.be,65.2.139.241
dimond-12.278.22.277,.815.be,15.207.104.137
dimond-13.277.23.276,.815.be,3.110.232.49
dimond-14.276.24.275,.815.be,43.205.122.140
dimond-15.275.25.274,.815.be,52.66.220.224
dimond-16.274.26.273,.815.be,65.0.69.74
dimond-17.273.27.272,.815.be,3.110.138.38
dimond-18.272.28.271,.815.be,43.205.121.85
dimond-19.271.29.270,.815.be,3.108.9.143
dimond-20.270.30.269,.815.be,3.7.255.28
dimond-21.269.31.268,.815.be,65.2.139.241
dimond-22.268.32.267,.815.be,15.207.104.137
dimond-23.267.33.266,.815.be,3.110.232.49
dimond-24.266.34.265,.815.be,43.205.122.140
dimond-25.265.35.264,.815.be,52.66.220.224
dimond-26.264.36.263,.815.be,65.0.69.74
dimond-27.263.37.262,.815.be,3.110.138.38
dimond-28.262.38.261,.815.be,43.205.121.85
dimond-29.261.39.260,.815.be,3.108.9.143
dimond-30.260.40.259,.815.be,3.7.255.28
dimond-31.259.41.258,.815.be,65.2.139.241
dimond-32.258.42.257,.815.be,15.207.104.137
dimond-33.257.43.256,.815.be,3.110.232.49
dimond-34.256.44.255,.815.be,43.205.122.140
dimond-35.255.45.254,.815.be,52.66.220.224
dimond-36.254.46.253,.815.be,65.0.69.74
dimond-37.253.47.252,.815.be,3.110.138.38
dimond-38.252.48.251,.815.be,43.205.121.85
dimond-39.251.49.250,.815.be,3.108.9.143
dimond-40.250.50.249,.815.be,3.7.255.28
,,
,,
,,
